Tipo, Extensao, Tamanho(bytes), TempoClient(ms), TempoServer(ms), RTT(ms),TempoTotal(ms)
SERVER+AF8-EXTERNAL,.iso,238026752,139196,139385,22.659999999999997,278581
SERVER+AF8-EXTERNAL,.iso,647823360,387434,388347,37.36,775781
SERVER+AF8-EXTERNAL,.png,43574,7,78,24.060000000000002,85
SERVER+AF8-EXTERNAL,.png,60606,3,58,21.220000000000002,61
SERVER+AF8-EXTERNAL,.png,62303,7,90,20.52,97
SERVER+AF8-EXTERNAL,.png,62372,9,71,23.28,80
SERVER+AF8-EXTERNAL,.png,69598,9,62,39.4,71
SERVER+AF8-EXTERNAL,.png,78311,5,113,22.06,118
SERVER+AF8-EXTERNAL,.png,81702,9,60,25.060000000000002,69
SERVER+AF8-EXTERNAL,.png,86564,8,171,25.2,179
SERVER+AF8-EXTERNAL,.pdf,107050,7,168,23.94,175
SERVER+AF8-EXTERNAL,.png,124105,8,100,28.619999999999997,108
SERVER+AF8-EXTERNAL,.pdf,321740,202,230,21.080000000000002,432
SERVER+AF8-EXTERNAL,.pdf,405687,236,259,29.82,495
SERVER+AF8-EXTERNAL,.pdf,463639,342,377,23.0,719
SERVER+AF8-EXTERNAL,.mp4,478886,289,318,21.580000000000002,607
SERVER+AF8-EXTERNAL,.pdf,573824,366,388,34.6,754
SERVER+AF8-EXTERNAL,.mp4,603517,541,606,21.440000000000005,1147
SERVER+AF8-EXTERNAL,.png,848806,507,530,21.639999999999997,1037
SERVER+AF8-EXTERNAL,.pdf,1009014,527,549,21.139999999999997,1076
SERVER+AF8-EXTERNAL,.pdf,1084673,605,623,24.0,1228
SERVER+AF8-EXTERNAL,.mp4,2232746,870,895,21.720000000000002,1765
SERVER+AF8-EXTERNAL,.pdf,2459010,765,898,22.68,1663
SERVER+AF8-EXTERNAL,.mp3,3363260,1298,1531,22.2,2829
SERVER+AF8-EXTERNAL,.pdf,3409257,1657,1767,49.12,3424
SERVER+AF8-EXTERNAL,.mp3,4846713,2044,2162,20.04,4206
SERVER+AF8-EXTERNAL,.mp3,4905254,2325,2469,22.9,4794
SERVER+AF8-EXTERNAL,.mp3,5178593,2382,2484,30.959999999999997,4866
SERVER+AF8-EXTERNAL,.mp3,5963776,2949,3096,23.02,6045
SERVER+AF8-EXTERNAL,.mp3,6897963,3579,3736,26.880000000000003,7315
SERVER+AF8-EXTERNAL,.pdf,6947882,3729,3912,26.360000000000003,7641
SERVER+AF8-EXTERNAL,.mp3,7522076,3911,4065,32.62,7976
SERVER+AF8-EXTERNAL,.mp3,7700653,3884,4034,30.579999999999995,7918
SERVER+AF8-EXTERNAL,.mp4,7953382,5995,6240,21.68,12235
SERVER+AF8-EXTERNAL,.mp3,8012705,4362,4621,31.240000000000002,8983
SERVER+AF8-EXTERNAL,.mp4,8297488,4479,4584,40.10000000000001,9063
SERVER+AF8-EXTERNAL,.mp3,9945088,5135,5250,25.419999999999998,10385
SERVER+AF8-EXTERNAL,.iso,238026752,137943,138022,20.919999999999998,275965
SERVER+AF8-EXTERNAL,.iso,647823360,384028,384371,20.76,768399
SERVER+AF8-EXTERNAL,.png,43574,8,39,23.28,47
SERVER+AF8-EXTERNAL,.png,60606,8,56,28.76,64
SERVER+AF8-EXTERNAL,.png,62303,9,56,22.220000000000002,65
SERVER+AF8-EXTERNAL,.png,62372,8,82,31.9,90
SERVER+AF8-EXTERNAL,.png,69598,8,119,24.18,127
SERVER+AF8-EXTERNAL,.png,78311,11,93,26.0,104
SERVER+AF8-EXTERNAL,.png,81702,10,155,25.72,165
SERVER+AF8-EXTERNAL,.png,86564,11,102,25.68,113
SERVER+AF8-EXTERNAL,.pdf,107050,12,115,36.1,127
SERVER+AF8-EXTERNAL,.png,124105,10,122,26.26,132
SERVER+AF8-EXTERNAL,.pdf,321740,251,350,21.6,601
SERVER+AF8-EXTERNAL,.pdf,405687,259,323,22.359999999999996,582
SERVER+AF8-EXTERNAL,.pdf,463639,312,353,36.760000000000005,665
SERVER+AF8-EXTERNAL,.mp4,478886,288,304,22.380000000000003,592
SERVER+AF8-EXTERNAL,.pdf,573824,391,438,46.379999999999995,829
SERVER+AF8-EXTERNAL,.mp4,603517,346,397,59.9,743
SERVER+AF8-EXTERNAL,.png,848806,451,487,42.38,938
SERVER+AF8-EXTERNAL,.pdf,1009014,485,506,21.7,991
SERVER+AF8-EXTERNAL,.pdf,1084673,526,746,21.04,1272
SERVER+AF8-EXTERNAL,.mp4,2232746,780,845,43.39999999999999,1625
SERVER+AF8-EXTERNAL,.pdf,2459010,847,906,21.82,1753
SERVER+AF8-EXTERNAL,.mp3,3363260,1537,1575,20.7,3112
SERVER+AF8-EXTERNAL,.pdf,3409257,1615,1727,21.34,3342
SERVER+AF8-EXTERNAL,.mp3,4846713,2167,2297,21.58,4464
SERVER+AF8-EXTERNAL,.mp3,4905254,2058,2219,30.660000000000004,4277
SERVER+AF8-EXTERNAL,.mp3,5178593,2461,2633,22.28,5094
SERVER+AF8-EXTERNAL,.mp3,5963776,3080,3187,30.98,6267
SERVER+AF8-EXTERNAL,.mp3,6897963,4205,4315,20.78,8520
SERVER+AF8-EXTERNAL,.pdf,6947882,3896,4023,21.26,7919
SERVER+AF8-EXTERNAL,.mp3,7522076,4423,4588,82.66,9011
SERVER+AF8-EXTERNAL,.mp3,7700653,4255,4398,20.98,8653
SERVER+AF8-EXTERNAL,.mp4,7953382,4334,4359,33.98,8693
SERVER+AF8-EXTERNAL,.mp3,8012705,4546,4655,21.18,9201
SERVER+AF8-EXTERNAL,.mp4,8297488,4914,4998,21.440000000000005,9912
SERVER+AF8-EXTERNAL,.mp3,9945088,6413,6497,22.02,12910
SERVER+AF8-EXTERNAL,.iso,238026752,134729,134871,33.42,269600
SERVER+AF8-EXTERNAL,.iso,647823360,385227,385345,23.299999999999997,770572
SERVER+AF8-EXTERNAL,.png,43574,8,40,30.220000000000006,48
SERVER+AF8-EXTERNAL,.png,60606,8,74,22.080000000000002,82
SERVER+AF8-EXTERNAL,.png,62303,11,62,20.9,73
SERVER+AF8-EXTERNAL,.png,62372,8,57,37.160000000000004,65
SERVER+AF8-EXTERNAL,.png,69598,7,78,20.62,85
SERVER+AF8-EXTERNAL,.png,78311,9,62,21.22,71
SERVER+AF8-EXTERNAL,.png,81702,9,70,35.68000000000001,79
SERVER+AF8-EXTERNAL,.png,86564,8,98,25.3,106
SERVER+AF8-EXTERNAL,.pdf,107050,9,78,22.220000000000002,87
SERVER+AF8-EXTERNAL,.png,124105,7,116,34.5,123
SERVER+AF8-EXTERNAL,.pdf,321740,179,208,21.12,387
SERVER+AF8-EXTERNAL,.pdf,405687,249,273,40.559999999999995,522
SERVER+AF8-EXTERNAL,.pdf,463639,389,412,66.5,801
SERVER+AF8-EXTERNAL,.mp4,478886,533,486,20.84,1019
SERVER+AF8-EXTERNAL,.pdf,573824,332,358,24.48,690
SERVER+AF8-EXTERNAL,.mp4,603517,368,399,30.259999999999998,767
SERVER+AF8-EXTERNAL,.png,848806,473,525,33.559999999999995,998
SERVER+AF8-EXTERNAL,.pdf,1009014,577,572,29.579999999999995,1149
SERVER+AF8-EXTERNAL,.pdf,1084673,565,584,31.160000000000004,1149
SERVER+AF8-EXTERNAL,.mp4,2232746,785,810,28.54,1595
SERVER+AF8-EXTERNAL,.pdf,2459010,907,940,34.42,1847
SERVER+AF8-EXTERNAL,.mp3,3363260,1469,1527,35.38,2996
SERVER+AF8-EXTERNAL,.pdf,3409257,1492,1508,31.419999999999998,3000
SERVER+AF8-EXTERNAL,.mp3,4846713,2341,2519,30.379999999999995,4860
SERVER+AF8-EXTERNAL,.mp3,4905254,2143,2416,21.18,4559
SERVER+AF8-EXTERNAL,.mp3,5178593,2458,2654,31.52,5112
SERVER+AF8-EXTERNAL,.mp3,5963776,2958,3251,35.06,6209
SERVER+AF8-EXTERNAL,.mp3,6897963,3386,3534,35.2,6920
SERVER+AF8-EXTERNAL,.pdf,6947882,3471,3582,29.7,7053
SERVER+AF8-EXTERNAL,.mp3,7522076,4396,4547,23.08,8943
SERVER+AF8-EXTERNAL,.mp3,7700653,4044,4216,22.660000000000004,8260
SERVER+AF8-EXTERNAL,.mp4,7953382,4242,4646,21.64,8888
SERVER+AF8-EXTERNAL,.mp3,8012705,4016,4298,59.220000000000006,8314
SERVER+AF8-EXTERNAL,.mp4,8297488,4479,4603,20.619999999999997,9082
SERVER+AF8-EXTERNAL,.mp3,9945088,5855,5935,22.52,11790
SERVER+AF8-EXTERNAL,.iso,238026752,134954,135016,26.360000000000003,269970
SERVER+AF8-EXTERNAL,.iso,647823360,367536,367637,35.04,735173
SERVER+AF8-EXTERNAL,.png,43574,8,487,25.220000000000002,495
SERVER+AF8-EXTERNAL,.png,60606,7,53,34.720000000000006,60
SERVER+AF8-EXTERNAL,.png,62303,5,57,22.380000000000003,62
SERVER+AF8-EXTERNAL,.png,62372,8,123,26.9,131
SERVER+AF8-EXTERNAL,.png,69598,7,54,32.04,61
SERVER+AF8-EXTERNAL,.png,78311,4,72,21.220000000000002,76
SERVER+AF8-EXTERNAL,.png,81702,4,135,22.68,139
SERVER+AF8-EXTERNAL,.png,86564,9,81,36.220000000000006,90
SERVER+AF8-EXTERNAL,.pdf,107050,7,102,22.839999999999996,109
SERVER+AF8-EXTERNAL,.png,124105,8,115,20.86,123
SERVER+AF8-EXTERNAL,.pdf,321740,245,305,27.560000000000002,550
SERVER+AF8-EXTERNAL,.pdf,405687,258,289,20.5,547
SERVER+AF8-EXTERNAL,.pdf,463639,257,297,22.28,554
SERVER+AF8-EXTERNAL,.mp4,478886,1285,1551,26.26,2836
SERVER+AF8-EXTERNAL,.pdf,573824,829,912,22.119999999999997,1741
SERVER+AF8-EXTERNAL,.mp4,603517,1015,884,26.300000000000004,1899
SERVER+AF8-EXTERNAL,.png,848806,616,642,23.3,1258
SERVER+AF8-EXTERNAL,.pdf,1009014,717,813,36.04,1530
SERVER+AF8-EXTERNAL,.pdf,1084673,5230,6281,25.759999999999998,11511
SERVER+AF8-EXTERNAL,.mp4,2232746,2068,2310,22.28,4378
SERVER+AF8-EXTERNAL,.pdf,2459010,4119,5276,28.640000000000004,9395
SERVER+AF8-EXTERNAL,.mp3,3363260,4917,5052,49.32000000000001,9969
SERVER+AF8-EXTERNAL,.pdf,3409257,5223,5533,24.019999999999996,10756
SERVER+AF8-EXTERNAL,.mp3,4846713,5575,5843,38.92,11418
SERVER+AF8-EXTERNAL,.mp3,4905254,2631,2741,30.18,5372
SERVER+AF8-EXTERNAL,.mp3,5178593,2804,2891,21.52,5695
SERVER+AF8-EXTERNAL,.mp3,5963776,2974,2962,22.44,5936
SERVER+AF8-EXTERNAL,.mp3,6897963,3943,4027,35.9,7970
SERVER+AF8-EXTERNAL,.pdf,6947882,3801,4008,24.2,7809
SERVER+AF8-EXTERNAL,.mp3,7522076,3915,4096,25.8,8011
SERVER+AF8-EXTERNAL,.mp3,7700653,4019,4106,22.78,8125
SERVER+AF8-EXTERNAL,.mp4,7953382,4417,4601,21.68,9018
SERVER+AF8-EXTERNAL,.mp3,8012705,4497,4722,21.339999999999996,9219
SERVER+AF8-EXTERNAL,.mp4,8297488,4084,4286,31.340000000000003,8370
SERVER+AF8-EXTERNAL,.mp3,9945088,5256,5427,23.1,10683
SERVER+AF8-EXTERNAL,.iso,238026752,137183,137327,114.31999999999998,274510
SERVER+AF8-EXTERNAL,.iso,647823360,379453,380899,21.1,760352
SERVER+AF8-EXTERNAL,.png,43574,8,2,32.260000000000005,10
SERVER+AF8-EXTERNAL,.png,60606,4,94,25.04,98
SERVER+AF8-EXTERNAL,.png,62303,6,63,35.9,69
SERVER+AF8-EXTERNAL,.png,62372,6,69,22.939999999999998,75
SERVER+AF8-EXTERNAL,.png,69598,10,66,22.54,76
SERVER+AF8-EXTERNAL,.png,78311,7,74,35.260000000000005,81
SERVER+AF8-EXTERNAL,.png,81702,7,88,21.7,95
SERVER+AF8-EXTERNAL,.png,86564,7,108,20.9,115
SERVER+AF8-EXTERNAL,.pdf,107050,7,127,31.3,134
SERVER+AF8-EXTERNAL,.png,124105,8,126,21.2,134
SERVER+AF8-EXTERNAL,.pdf,321740,267,408,22.44,675
SERVER+AF8-EXTERNAL,.pdf,405687,294,344,23.759999999999998,638
SERVER+AF8-EXTERNAL,.pdf,463639,363,415,27.559999999999995,778
SERVER+AF8-EXTERNAL,.mp4,478886,345,404,21.64,749
SERVER+AF8-EXTERNAL,.pdf,573824,403,437,22.2,840
SERVER+AF8-EXTERNAL,.mp4,603517,381,418,49.879999999999995,799
SERVER+AF8-EXTERNAL,.png,848806,426,455,31.040000000000003,881
SERVER+AF8-EXTERNAL,.pdf,1009014,427,488,24.240000000000002,915
SERVER+AF8-EXTERNAL,.pdf,1084673,492,532,21.9,1024
SERVER+AF8-EXTERNAL,.mp4,2232746,874,927,23.24,1801
SERVER+AF8-EXTERNAL,.pdf,2459010,915,1000,21.439999999999998,1915
SERVER+AF8-EXTERNAL,.mp3,3363260,1479,1557,31.9,3036
SERVER+AF8-EXTERNAL,.pdf,3409257,1323,1453,25.880000000000003,2776
SERVER+AF8-EXTERNAL,.mp3,4846713,2166,2230,24.18,4396
SERVER+AF8-EXTERNAL,.mp3,4905254,2109,2215,30.24,4324
SERVER+AF8-EXTERNAL,.mp3,5178593,2360,2597,22.880000000000003,4957
SERVER+AF8-EXTERNAL,.mp3,5963776,2978,3123,26.619999999999997,6101
SERVER+AF8-EXTERNAL,.mp3,6897963,3532,3687,77.28,7219
SERVER+AF8-EXTERNAL,.pdf,6947882,3431,3664,32.239999999999995,7095
SERVER+AF8-EXTERNAL,.mp3,7522076,4243,4318,28.080000000000002,8561
SERVER+AF8-EXTERNAL,.mp3,7700653,4617,4742,22.839999999999996,9359
SERVER+AF8-EXTERNAL,.mp4,7953382,5023,5212,22.740000000000002,10235
SERVER+AF8-EXTERNAL,.mp3,8012705,4290,4428,23.28,8718
SERVER+AF8-EXTERNAL,.mp4,8297488,4239,4337,21.139999999999997,8576
SERVER+AF8-EXTERNAL,.mp3,9945088,5268,5442,51.339999999999996,10710
SERVER+AF8-EXTERNAL,.iso,238026752,135507,135694,22.3,271201
SERVER+AF8-EXTERNAL,.iso,647823360,376695,376781,22.3,753476
