 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
7522076,6538,+ACI-1123,55113853625+ACI-
4846713,4193,+ACI-1128,81425329418+ACI-
6947882,5820,+ACI-1165,8146074957+ACI-
3409257,2808,+ACI-1185,66685864049+ACI-
2459010,2003,+ACI-1198,89014135047+ACI-
7700653,6154,+ACI-1221,99690369069+ACI-
5178593,4078,+ACI-1240,12254207025+ACI-
8297488,6513,+ACI-1244,12952940273+ACI-
3409257,2642,+ACI-1260,16371652631+ACI-
2459010,1892,+ACI-1269,22671941068+ACI-
1084673,814,+ACI-1301,29112599816+ACI-
6897963,5160,+ACI-1305,48294422238+ACI-
6947882,5194,+ACI-1306,32287555352+ACI-
8012705,5962,+ACI-1312,46347308999+ACI-
7953382,5908,+ACI-1314,65379305603+ACI-
4846713,3595,+ACI-1316,58363395341+ACI-
5963776,4413,+ACI-1319,73714026739+ACI-
647823360,478524,+ACI-1322,06535095418+ACI-
8012705,5886,+ACI-1329,40999431915+ACI-
8297488,6091,+ACI-1330,32599326876+ACI-
647823360,474975,+ACI-1331,94378651508+ACI-
2459010,1795,+ACI-1337,81445856546+ACI-
9945088,7237,+ACI-1341,99253834462+ACI-
8297488,6011,+ACI-1348,03121360838+ACI-
3363260,2424,+ACI-1354,96435385726+ACI-
7700653,5530,+ACI-1359,8858852283+ACI-
238026752,170488,+ACI-1363,42733799446+ACI-
7953382,5655,+ACI-1373,47031111848+ACI-
4905254,3481,+ACI-1376,12384641626+ACI-
3363260,2384,+ACI-1377,69865509648+ACI-
3409257,2402,+ACI-1386,0751619744+ACI-
3363260,2368,+ACI-1387,00742979307+ACI-
7953382,5590,+ACI-1389,44089613148+ACI-
1009014,709,+ACI-1389,79581717207+ACI-
4905254,3434,+ACI-1394,95838945108+ACI-
7700653,5384,+ACI-1396,76243412194+ACI-
9945088,6904,+ACI-1406,72074159907+ACI-
9945088,6898,+ACI-1407,94433169035+ACI-
8297488,5753,+ACI-1408,48524682774+ACI-
8012705,5553,+ACI-1409,13150127184+ACI-
7522076,5209,+ACI-1410,20874328086+ACI-
7700653,5324,+ACI-1412,50355847342+ACI-
8297488,5735,+ACI-1412,90595030514+ACI-
238026752,164500,+ACI-1413,05775075988+ACI-
3363260,2317,+ACI-1417,53715742339+ACI-
5963776,4106,+ACI-1418,4120798831+ACI-
8297488,5709,+ACI-1419,34062445262+ACI-
5178593,3557,+ACI-1421,76545587925+ACI-
4846713,3328,+ACI-1422,21098679763+ACI-
848806,582,+ACI-1424,24761060997+ACI-
647823360,443238,+ACI-1427,31444506112+ACI-
238026752,162807,+ACI-1427,7518779905+ACI-
647823360,441965,+ACI-1431,42556537282+ACI-
647823360,441963,+ACI-1431,43204295382+ACI-
7522076,5129,+ACI-1432,20459031975+ACI-
238026752,162089,+ACI-1434,07634077575+ACI-
7953382,5412,+ACI-1435,13943262657+ACI-
1084673,738,+ACI-1435,29942623645+ACI-
7522076,5111,+ACI-1437,24855091959+ACI-
3363260,2285,+ACI-1437,38888129103+ACI-
4905254,3331,+ACI-1438,09279777094+ACI-
6897963,4684,+ACI-1438,14944325096+ACI-
5178593,3516,+ACI-1438,34463212813+ACI-
7953382,5394,+ACI-1439,92855197905+ACI-
5178593,3512,+ACI-1439,98283785948+ACI-
5178593,3512,+ACI-1439,98283785948+ACI-
8012705,5431,+ACI-1440,78571654622+ACI-
6947882,4708,+ACI-1441,17268811066+ACI-
647823360,438640,+ACI-1442,27612620828+ACI-
647823360,438623,+ACI-1442,33202545238+ACI-
3409257,2308,+ACI-1442,52709664753+ACI-
647823360,438549,+ACI-1442,57540206454+ACI-
2232746,1511,+ACI-1443,02846831569+ACI-
647823360,438139,+ACI-1443,92532963283+ACI-
848806,574,+ACI-1444,09775152439+ACI-
238026752,160888,+ACI-1444,78146288101+ACI-
6897963,4659,+ACI-1445,86649327914+ACI-
1009014,681,+ACI-1446,93867015419+ACI-
6947882,4689,+ACI-1447,0123727074+ACI-
4905254,3310,+ACI-1447,21664935801+ACI-
5963776,4023,+ACI-1447,67586378325+ACI-
7522076,5074,+ACI-1447,72907838983+ACI-
6947882,4686,+ACI-1447,93875706893+ACI-
238026752,160349,+ACI-1449,63797716232+ACI-
5963776,4016,+ACI-1450,19920318725+ACI-
2459010,1654,+ACI-1451,86031023277+ACI-
8297488,5581,+ACI-1451,89314191005+ACI-
238026752,160061,+ACI-1452,24633108627+ACI-
9945088,6686,+ACI-1452,58749626084+ACI-
4846713,3258,+ACI-1452,76800615792+ACI-
4846713,3258,+ACI-1452,76800615792+ACI-
9945088,6683,+ACI-1453,23956307048+ACI-
2459010,1652,+ACI-1453,61801036622+ACI-
7953382,5343,+ACI-1453,67295702321+ACI-
6947882,4667,+ACI-1453,83351523998+ACI-
647823360,435042,+ACI-1454,20442164205+ACI-
7700653,5171,+ACI-1454,29683722926+ACI-
8012705,5377,+ACI-1455,25520300586+ACI-
5178593,3475,+ACI-1455,31502922662+ACI-
6947882,4661,+ACI-1455,70500227955+ACI-
5963776,4000,1456
5178593,3472,+ACI-1456,57250189012+ACI-
238026752,159458,+ACI-1457,73808777233+ACI-
6897963,4621,+ACI-1457,75632810809+ACI-
3363260,2253,+ACI-1457,80452452286+ACI-
4905254,3285,+ACI-1458,23047469559+ACI-
5963776,3992,+ACI-1458,91783567134+ACI-
7522076,5034,+ACI-1459,23268648192+ACI-
573824,384,+ACI-1459,30989583333+ACI-
8297488,5551,+ACI-1459,73979913529+ACI-
4905254,3279,+ACI-1460,89878297499+ACI-
6897963,4611,+ACI-1460,917803554+ACI-
2232746,1492,+ACI-1461,40483620979+ACI-
238026752,158921,+ACI-1462,66383926605+ACI-
7953382,5309,+ACI-1462,98259735826+ACI-
7522076,5021,+ACI-1463,01082329217+ACI-
8012705,5342,+ACI-1464,7898215205+ACI-
238026752,158665,+ACI-1465,02379226673+ACI-
4905254,3268,+ACI-1465,81612893972+ACI-
7953382,5298,+ACI-1466,02012256984+ACI-
4846713,3226,+ACI-1467,17860014337+ACI-
3409257,2266,+ACI-1469,26413903906+ACI-
3363260,2235,+ACI-1469,54523210291+ACI-
7700653,5114,+ACI-1470,50624663913+ACI-
9945088,6600,+ACI-1471,51515151515+ACI-
7953382,5278,+ACI-1471,57533334123+ACI-
4846713,3216,+ACI-1471,74072265625+ACI-
5178593,3434,+ACI-1472,69066003567+ACI-
2232746,1480,+ACI-1473,25406461149+ACI-
5963776,3949,+ACI-1474,80374778425+ACI-
6897963,4562,+ACI-1476,60938013755+ACI-
6897963,4561,+ACI-1476,93312698695+ACI-
2232746,1476,+ACI-1477,24662305217+ACI-
6897963,4557,+ACI-1478,22953526169+ACI-
5963776,3938,+ACI-1478,92331132555+ACI-
4905254,3235,+ACI-1480,7688127898+ACI-
3409257,2248,+ACI-1481,02870954738+ACI-
6897963,4548,+ACI-1481,15479159796+ACI-
5963776,3932,+ACI-1481,18006103764+ACI-
7522076,4959,+ACI-1481,30214635007+ACI-
9945088,6555,+ACI-1481,61708619375+ACI-
5178593,3413,+ACI-1481,75204411442+ACI-
9945088,6551,+ACI-1482,52175240421+ACI-
7953382,5239,+ACI-1482,52998842814+ACI-
4846713,3190,+ACI-1483,73610158699+ACI-
7522076,4949,+ACI-1484,29528061225+ACI-
4905254,3226,+ACI-1484,89990991166+ACI-
2459010,1615,+ACI-1486,92071400929+ACI-
8012705,5262,+ACI-1487,05952614263+ACI-
2232746,1466,+ACI-1487,32333944407+ACI-
5178593,3400,+ACI-1487,41756663603+ACI-
9945088,6529,+ACI-1487,51723081636+ACI-
4905254,3219,+ACI-1488,12895600342+ACI-
7700653,5051,+ACI-1488,84754411255+ACI-
8297488,5439,+ACI-1489,79879113808+ACI-
6897963,4519,+ACI-1490,65987877572+ACI-
1084673,710,+ACI-1491,90278389085+ACI-
7700653,5040,+ACI-1492,09701295883+ACI-
3363260,2201,+ACI-1492,24606712858+ACI-
8012705,5231,+ACI-1495,87215189495+ACI-
6947882,4535,+ACI-1496,1501688258+ACI-
6947882,4535,+ACI-1496,1501688258+ACI-
6947882,4530,+ACI-1497,80154870309+ACI-
2232746,1455,+ACI-1498,56770833333+ACI-
8012705,5221,+ACI-1498,73725848736+ACI-
3409257,2220,+ACI-1499,70835092905+ACI-
3363260,2190,+ACI-1499,74136700913+ACI-
4846713,3153,+ACI-1501,14753062559+ACI-
5963776,3877,+ACI-1502,19241681713+ACI-
2232746,1449,+ACI-1504,7729576432+ACI-
7700653,4981,+ACI-1509,770918553+ACI-
8297488,5359,+ACI-1512,03874323568+ACI-
7700653,4955,+ACI-1517,69302629919+ACI-
2232746,1436,+ACI-1518,39555405641+ACI-
4846713,3117,+ACI-1518,48513444418+ACI-
3363260,2160,+ACI-1520,57110821759+ACI-
8012705,5139,+ACI-1522,65172729373+ACI-
9945088,6375,+ACI-1523,45098039216+ACI-
7522076,4820,+ACI-1524,02019579876+ACI-
2459010,1575,+ACI-1524,6837797619+ACI-
3409257,2178,+ACI-1528,628346677+ACI-
124105,79,+ACI-1534,13024129747+ACI-
2459010,1565,+ACI-1534,42616813099+ACI-
1009014,642,+ACI-1534,83681366822+ACI-
2459010,1563,+ACI-1536,3896053263+ACI-
2232746,1418,+ACI-1537,66996870592+ACI-
3409257,2164,+ACI-1538,5178091786+ACI-
2459010,1555,+ACI-1544,29386053055+ACI-
3409257,2151,+ACI-1547,81615019177+ACI-
573824,359,+ACI-1560,93314763231+ACI-
2232746,1393,+ACI-1565,26634287509+ACI-
1084673,675,+ACI-1569,26070601852+ACI-
1084673,675,+ACI-1569,26070601852+ACI-
1084673,672,+ACI-1576,26633417039+ACI-
1009014,622,+ACI-1584,18847970257+ACI-
1009014,617,+ACI-1597,02631179092+ACI-
848806,519,+ACI-1597,13315871869+ACI-
1084673,662,+ACI-1600,07700387085+ACI-
1009014,610,+ACI-1615,35284323771+ACI-
848806,511,+ACI-1622,13720034247+ACI-
1009014,607,+ACI-1623,33646519769+ACI-
463639,277,+ACI-1634,557620713+ACI-
848806,507,+ACI-1634,93512697239+ACI-
1009014,600,+ACI-1642,275390625+ACI-
1084673,643,+ACI-1647,35766183904+ACI-
848806,503,+ACI-1647,93659915507+ACI-
848806,499,+ACI-1661,14651177355+ACI-
848806,498,+ACI-1664,48214733936+ACI-
848806,497,+ACI-1667,83120598592+ACI-
1009014,580,+ACI-1698,90557650862+ACI-
43574,25,+ACI-1702,109375+ACI-
1009014,576,+ACI-1710,70353190104+ACI-
573824,323,+ACI-1734,90712074303+ACI-
603517,339,+ACI-1738,56067938791+ACI-
1084673,600,+ACI-1765,41829427083+ACI-
573824,317,+ACI-1767,74447949527+ACI-
603517,328,+ACI-1796,86606802591+ACI-
1084673,589,+ACI-1798,38875477504+ACI-
405687,220,+ACI-1800,81232244318+ACI-
405687,219,+ACI-1809,03520976027+ACI-
603517,322,+ACI-1830,34804444876+ACI-
405687,216,+ACI-1834,16069878472+ACI-
603517,318,+ACI-1853,37129029088+ACI-
405687,213,+ACI-1859,99394806338+ACI-
478886,250,+ACI-1870,6484375+ACI-
573824,299,+ACI-1874,16387959866+ACI-
603517,314,+ACI-1876,9811156449+ACI-
573824,297,+ACI-1886,78451178451+ACI-
463639,238,+ACI-1902,40529805672+ACI-
463639,237,+ACI-1910,4323246308+ACI-
463639,237,+ACI-1910,4323246308+ACI-
405687,207,+ACI-1913,90681612319+ACI-
463639,235,+ACI-1926,6913231383+ACI-
848806,430,+ACI-1927,70257994186+ACI-
463639,234,+ACI-1934,92504674145+ACI-
603517,303,+ACI-1945,12234426568+ACI-
478886,240,+ACI-1948,59212239583+ACI-
478886,239,+ACI-1956,74522751046+ACI-
463639,231,+ACI-1960,05394345238+ACI-
463639,230,+ACI-1968,57591711957+ACI-
405687,201,+ACI-1971,03836287313+ACI-
573824,283,+ACI-1980,12367491166+ACI-
573824,283,+ACI-1980,12367491166+ACI-
405687,200,+ACI-1980,8935546875+ACI-
405687,200,+ACI-1980,8935546875+ACI-
478886,235,+ACI-1990,05152925532+ACI-
478886,233,+ACI-2007,1335166309+ACI-
478886,229,+ACI-2042,19261735808+ACI-
478886,229,+ACI-2042,19261735808+ACI-
478886,227,+ACI-2060,18550385463+ACI-
573824,272,+ACI-2060,20220588235+ACI-
321740,152,+ACI-2067,10012335526+ACI-
463639,217,+ACI-2086,50903657834+ACI-
603517,281,+ACI-2097,40950289146+ACI-
463639,215,+ACI-2105,91842296512+ACI-
573824,266,+ACI-2106,67293233083+ACI-
405687,186,+ACI-2129,99306955645+ACI-
321740,146,+ACI-2152,04944349315+ACI-
603517,272,+ACI-2166,80908203125+ACI-
321740,144,+ACI-2181,93901909722+ACI-
603517,268,+ACI-2199,14951609142+ACI-
321740,142,+ACI-2212,67055457746+ACI-
321740,142,+ACI-2212,67055457746+ACI-
321740,139,+ACI-2260,42603417266+ACI-
405687,173,+ACI-2290,05035223988+ACI-
603517,250,+ACI-2357,48828125+ACI-
478886,196,+ACI-2386,03117028061+ACI-
321740,130,+ACI-2416,91706730769+ACI-
321740,118,+ACI-2662,70524364407+ACI-
478886,174,+ACI-2687,71327227012+ACI-
321740,108,+ACI-2909,25202546296+ACI-
107050,35,+ACI-2986,88616071429+ACI-
107050,32,+ACI-3266,90673828125+ACI-
43574,13,+ACI-3273,28725961538+ACI-
321740,91,+ACI-3452,73866758242+ACI-
43574,12,+ACI-3546,06119791667+ACI-
43574,12,+ACI-3546,06119791667+ACI-
43574,12,+ACI-3546,06119791667+ACI-
107050,29,+ACI-3604,86260775862+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
43574,11,+ACI-3868,43039772727+ACI-
107050,27,+ACI-3871,88946759259+ACI-
43574,10,+ACI-4255,2734375+ACI-
124105,22,+ACI-5508,92223011364+ACI-
124105,17,+ACI-7129,19347426471+ACI-
124105,17,+ACI-7129,19347426471+ACI-
107050,14,+ACI-7467,21540178571+ACI-
107050,14,+ACI-7467,21540178571+ACI-
124105,15,+ACI-8079,75260416667+ACI-
124105,14,+ACI-8656,87779017857+ACI-
124105,14,+ACI-8656,87779017857+ACI-
107050,11,+ACI-9503,72869318182+ACI-
107050,10,+ACI-10454,1015625+ACI-
107050,10,+ACI-10454,1015625+ACI-
124105,11,+ACI-11017,8444602273+ACI-
124105,11,+ACI-11017,8444602273+ACI-
107050,9,+ACI-11615,6684027778+ACI-
124105,10,+ACI-12119,62890625+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
60606,1,+ACI-59185,546875+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62303,1,+ACI-60842,7734375+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
62372,1,+ACI-60910,15625+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
69598,1,+ACI-67966,796875+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
78311,1,+ACI-76475,5859375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
81702,1,+ACI-79787,109375+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
86564,1,+ACI-84535,15625+ACI-
