Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms); RTT(ms)
SERVER_LOCAL;.png;43574;22;20;4.316
SERVER_LOCAL;.png;60606;22;34;2.196
SERVER_LOCAL;.png;62303;12;41;2.17
SERVER_LOCAL;.png;62372;15;36;2.728
SERVER_LOCAL;.png;69598;12;39;2.844
SERVER_LOCAL;.png;78311;14;55;2.368
SERVER_LOCAL;.png;81702;28;60;2.824
SERVER_LOCAL;.png;86564;27;59;2.504
SERVER_LOCAL;.pdf;107050;51;85;1.9940000000000002
SERVER_LOCAL;.png;124105;39;78;2.59
SERVER_LOCAL;.pdf;321740;169;215;3.182
SERVER_LOCAL;.pdf;405687;169;247;2.418
SERVER_LOCAL;.pdf;463639;420;478;2.338
SERVER_LOCAL;.mp4;478886;259;298;68.704
SERVER_LOCAL;.pdf;573824;306;330;2.358
SERVER_LOCAL;.mp4;603517;333;352;2.7660000000000005
SERVER_LOCAL;.png;848806;392;423;2.996
SERVER_LOCAL;.pdf;1009014;549;573;2.056
SERVER_LOCAL;.pdf;1084673;547;579;2.316
SERVER_LOCAL;.mp4;2232746;1114;1138;2.3840000000000003
SERVER_LOCAL;.pdf;2459010;1356;1160;2.0980000000000003
SERVER_LOCAL;.mp3;3363260;1653;1698;3.146
SERVER_LOCAL;.pdf;3409257;1691;1776;3.396
SERVER_LOCAL;.mp3;4846713;2478;2507;2.7039999999999997
SERVER_LOCAL;.mp3;4905254;2400;2488;2.112
SERVER_LOCAL;.mp3;5178593;2628;2684;2.4979999999999998
SERVER_LOCAL;.mp3;5963776;2982;3044;4.18
SERVER_LOCAL;.mp3;6897963;3516;3537;2.418
SERVER_LOCAL;.pdf;6947882;3585;3648;2.182
SERVER_LOCAL;.mp3;7522076;4116;3776;2.336
SERVER_LOCAL;.mp3;7700653;3860;4031;2.788
SERVER_LOCAL;.mp4;7953382;4120;4212;4.148
SERVER_LOCAL;.mp3;8012705;4201;4242;2.8280000000000003
SERVER_LOCAL;.mp4;8297488;4318;4394;2.272
SERVER_LOCAL;.mp3;9945088;5015;5209;2.46
SERVER_LOCAL;.iso;238026752;106105;106115;3.556
SERVER_LOCAL;.iso;647823360;307463;307035;2.738
SERVER_LOCAL;.png;43574;22;4;4.378
SERVER_LOCAL;.png;60606;3;32;2.154
SERVER_LOCAL;.png;62303;4;33;2.11
SERVER_LOCAL;.png;62372;6;31;3.558
SERVER_LOCAL;.png;69598;5;39;3.2060000000000004
SERVER_LOCAL;.png;78311;35;67;2.1119999999999997
SERVER_LOCAL;.png;81702;5;45;2.8839999999999995
SERVER_LOCAL;.png;86564;6;41;2.6020000000000003
SERVER_LOCAL;.pdf;107050;19;66;1.9620000000000002
SERVER_LOCAL;.png;124105;25;76;3.3480000000000003
SERVER_LOCAL;.pdf;321740;165;222;2.368
SERVER_LOCAL;.pdf;405687;241;278;2.006
SERVER_LOCAL;.pdf;463639;291;316;2.528
SERVER_LOCAL;.mp4;478886;253;274;3.4879999999999995
SERVER_LOCAL;.pdf;573824;247;292;2.508
SERVER_LOCAL;.mp4;603517;364;398;1.966
SERVER_LOCAL;.png;848806;435;451;3.5520000000000005
SERVER_LOCAL;.pdf;1009014;544;567;3.6419999999999995
SERVER_LOCAL;.pdf;1084673;553;581;2.036
SERVER_LOCAL;.mp4;2232746;1095;1138;2.95
SERVER_LOCAL;.pdf;2459010;1242;1271;2.098
SERVER_LOCAL;.mp3;3363260;2288;2125;2.158
SERVER_LOCAL;.pdf;3409257;1672;1751;3.8259999999999996
SERVER_LOCAL;.mp3;4846713;2452;2483;2.07
SERVER_LOCAL;.mp3;4905254;2450;2556;3.25
SERVER_LOCAL;.mp3;5178593;2614;2637;2.7380000000000004
SERVER_LOCAL;.mp3;5963776;2929;3064;5.76
SERVER_LOCAL;.mp3;6897963;3480;3616;2.498
SERVER_LOCAL;.pdf;6947882;3627;3663;2.79
SERVER_LOCAL;.mp3;7522076;4172;3843;2.7980000000000005
SERVER_LOCAL;.mp3;7700653;3969;4066;2.438
SERVER_LOCAL;.mp4;7953382;4013;4172;2.022
SERVER_LOCAL;.mp3;8012705;4090;4268;2.082
SERVER_LOCAL;.mp4;8297488;4278;4405;2.5460000000000003
SERVER_LOCAL;.mp3;9945088;5157;5289;3.5759999999999996
SERVER_LOCAL;.iso;238026752;112512;112535;2.0460000000000003
SERVER_LOCAL;.iso;647823360;298795;298705;2.7199999999999998
SERVER_LOCAL;.png;43574;14;5;4.084
SERVER_LOCAL;.png;60606;7;33;2.606
SERVER_LOCAL;.png;62303;7;39;2.444
SERVER_LOCAL;.png;62372;11;41;2.71
SERVER_LOCAL;.png;69598;6;36;2.248
SERVER_LOCAL;.png;78311;17;44;2.6799999999999997
SERVER_LOCAL;.png;81702;5;46;2.0300000000000002
SERVER_LOCAL;.png;86564;8;40;2.714
SERVER_LOCAL;.pdf;107050;10;96;4.460000000000001
SERVER_LOCAL;.png;124105;19;74;1.886
SERVER_LOCAL;.pdf;321740;129;168;1.986
SERVER_LOCAL;.pdf;405687;182;218;2.8739999999999997
SERVER_LOCAL;.pdf;463639;224;246;2.802
SERVER_LOCAL;.mp4;478886;258;278;2.902
SERVER_LOCAL;.pdf;573824;258;305;2.134
SERVER_LOCAL;.mp4;603517;305;339;2.57
SERVER_LOCAL;.png;848806;520;552;2.6919999999999997
SERVER_LOCAL;.pdf;1009014;562;566;3.13
SERVER_LOCAL;.pdf;1084673;578;626;3.5200000000000005
SERVER_LOCAL;.mp4;2232746;1157;1177;3.2159999999999997
SERVER_LOCAL;.pdf;2459010;1538;1566;2.5799999999999996
SERVER_LOCAL;.mp3;3363260;2485;1616;2.6
SERVER_LOCAL;.pdf;3409257;1734;1770;3.1260000000000003
SERVER_LOCAL;.mp3;4846713;2500;2544;2.6399999999999997
SERVER_LOCAL;.mp3;4905254;2553;2625;2.4959999999999996
SERVER_LOCAL;.mp3;5178593;2748;2838;1.8519999999999999
SERVER_LOCAL;.mp3;5963776;2979;3072;2.5460000000000003
SERVER_LOCAL;.mp3;6897963;3674;3795;3.086
SERVER_LOCAL;.pdf;6947882;3845;3933;2.4159999999999995
SERVER_LOCAL;.mp3;7522076;4629;4453;2.534
SERVER_LOCAL;.mp3;7700653;4094;4255;2.34
SERVER_LOCAL;.mp4;7953382;4154;4250;2.458
SERVER_LOCAL;.mp3;8012705;4099;4249;2.534
SERVER_LOCAL;.mp4;8297488;4465;4537;2.718
SERVER_LOCAL;.mp3;9945088;5093;5200;2.84
SERVER_LOCAL;.iso;238026752;111337;110649;46.762
SERVER_LOCAL;.iso;647823360;312255;312382;2.5620000000000003
SERVER_LOCAL;.png;43574;7;5;4.988
SERVER_LOCAL;.png;60606;7;36;2.9220000000000006
SERVER_LOCAL;.png;62303;7;38;2.7359999999999998
SERVER_LOCAL;.png;62372;4;64;2.0679999999999996
SERVER_LOCAL;.png;69598;5;36;2.22
SERVER_LOCAL;.png;78311;5;49;2.3659999999999997
SERVER_LOCAL;.png;81702;5;52;1.984
SERVER_LOCAL;.png;86564;5;59;3.032
SERVER_LOCAL;.pdf;107050;6;61;3.2119999999999997
SERVER_LOCAL;.png;124105;6;59;2.648
SERVER_LOCAL;.pdf;321740;168;226;2.834
SERVER_LOCAL;.pdf;405687;170;264;2.75
SERVER_LOCAL;.pdf;463639;198;250;2.0420000000000003
SERVER_LOCAL;.mp4;478886;286;334;4.5600000000000005
SERVER_LOCAL;.pdf;573824;345;357;9.908000000000001
SERVER_LOCAL;.mp4;603517;362;380;2.5359999999999996
SERVER_LOCAL;.png;848806;451;520;3.196
SERVER_LOCAL;.pdf;1009014;974;997;3.064
SERVER_LOCAL;.pdf;1084673;815;866;4.496
SERVER_LOCAL;.mp4;2232746;1916;1118;5.447999999999999
SERVER_LOCAL;.pdf;2459010;1247;1305;2.87
SERVER_LOCAL;.mp3;3363260;1930;2239;9.634
SERVER_LOCAL;.pdf;3409257;1867;1925;3.7
SERVER_LOCAL;.mp3;4846713;2427;2432;3.2560000000000002
SERVER_LOCAL;.mp3;4905254;2462;2513;1.9440000000000002
SERVER_LOCAL;.mp3;5178593;2591;2652;2.612
SERVER_LOCAL;.mp3;5963776;2861;2971;2.136
SERVER_LOCAL;.mp3;6897963;3332;3411;2.992
SERVER_LOCAL;.pdf;6947882;3811;3357;2.8240000000000003
SERVER_LOCAL;.mp3;7522076;3732;3821;2.26
SERVER_LOCAL;.mp3;7700653;3872;4039;2.9
SERVER_LOCAL;.mp4;7953382;4248;4335;2.6079999999999997
SERVER_LOCAL;.mp3;8012705;4424;4578;2.46
SERVER_LOCAL;.mp4;8297488;4643;4774;2.9279999999999995
SERVER_LOCAL;.mp3;9945088;5566;5598;2.52
SERVER_LOCAL;.iso;238026752;112402;112925;2.332
SERVER_LOCAL;.iso;647823360;288154;287717;2.8339999999999996
SERVER_LOCAL;.png;43574;21;5;2.108
SERVER_LOCAL;.png;60606;7;44;2.478
SERVER_LOCAL;.png;62303;58;101;2.5620000000000003
SERVER_LOCAL;.png;62372;4;67;2.568
SERVER_LOCAL;.png;69598;5;29;2.5660000000000003
SERVER_LOCAL;.png;78311;6;63;2.784
SERVER_LOCAL;.png;81702;26;56;2.018
SERVER_LOCAL;.png;86564;6;51;3.2520000000000002
SERVER_LOCAL;.pdf;107050;5;62;2.0
SERVER_LOCAL;.png;124105;5;76;2.906
SERVER_LOCAL;.pdf;321740;136;185;2.092
SERVER_LOCAL;.pdf;405687;196;212;2.09
SERVER_LOCAL;.pdf;463639;202;246;3.0360000000000005
SERVER_LOCAL;.mp4;478886;268;292;4.746
SERVER_LOCAL;.pdf;573824;317;344;2.822
SERVER_LOCAL;.mp4;603517;342;369;2.482
SERVER_LOCAL;.png;848806;402;443;2.0
SERVER_LOCAL;.pdf;1009014;494;521;2.666
SERVER_LOCAL;.pdf;1084673;555;558;2.26
SERVER_LOCAL;.mp4;2232746;1116;1158;2.174
SERVER_LOCAL;.pdf;2459010;1228;1289;1.9479999999999997
SERVER_LOCAL;.mp3;3363260;2239;1670;2.7980000000000005
SERVER_LOCAL;.pdf;3409257;1701;1788;2.17
SERVER_LOCAL;.mp3;4846713;2459;2539;1.884
SERVER_LOCAL;.mp3;4905254;2533;2585;2.52
SERVER_LOCAL;.mp3;5178593;2828;2871;2.1119999999999997
SERVER_LOCAL;.mp3;5963776;3095;3134;3.018
SERVER_LOCAL;.mp3;6897963;3501;3592;2.534
SERVER_LOCAL;.pdf;6947882;3541;3622;2.082
SERVER_LOCAL;.mp3;7522076;4305;3850;2.4539999999999997
SERVER_LOCAL;.mp3;7700653;3868;4020;2.718
SERVER_LOCAL;.mp4;7953382;4401;4471;2.808
SERVER_LOCAL;.mp3;8012705;4333;4430;4.656
SERVER_LOCAL;.mp4;8297488;4561;4611;58.238
SERVER_LOCAL;.mp3;9945088;5378;5556;2.6999999999999997
SERVER_LOCAL;.iso;238026752;111364;110952;2.662
SERVER_LOCAL;.iso;647823360;295828;295688;2.5279999999999996
SERVER_LOCAL;.png;43574;7;5;4.798
SERVER_LOCAL;.png;60606;7;28;2.27
SERVER_LOCAL;.png;62303;2;61;5.726
SERVER_LOCAL;.png;62372;3;27;1.9920000000000002
SERVER_LOCAL;.png;69598;4;40;1.97
SERVER_LOCAL;.png;78311;3;54;2.214
SERVER_LOCAL;.png;81702;5;42;2.348
SERVER_LOCAL;.png;86564;5;55;2.088
SERVER_LOCAL;.pdf;107050;7;51;2.332
SERVER_LOCAL;.png;124105;7;83;2.026
SERVER_LOCAL;.pdf;321740;144;179;2.082
SERVER_LOCAL;.pdf;405687;189;216;2.1160000000000005
SERVER_LOCAL;.pdf;463639;223;258;3.882
SERVER_LOCAL;.mp4;478886;270;296;1.996
SERVER_LOCAL;.pdf;573824;355;380;2.472
SERVER_LOCAL;.mp4;603517;325;352;2.0940000000000003
SERVER_LOCAL;.png;848806;444;473;3.682
SERVER_LOCAL;.pdf;1009014;504;509;3.714
SERVER_LOCAL;.pdf;1084673;548;572;2.1819999999999995
SERVER_LOCAL;.mp4;2232746;1107;1158;2.12
SERVER_LOCAL;.pdf;2459010;1175;1209;2.856
SERVER_LOCAL;.mp3;3363260;2127;1643;2.79
SERVER_LOCAL;.pdf;3409257;1742;1785;2.5380000000000003
SERVER_LOCAL;.mp3;4846713;2653;2704;2.7439999999999998
SERVER_LOCAL;.mp3;4905254;3250;3390;2.774
SERVER_LOCAL;.mp3;5178593;2869;2871;3.082
SERVER_LOCAL;.mp3;5963776;3062;3200;5.526
SERVER_LOCAL;.mp3;6897963;3436;3581;4.188000000000001
SERVER_LOCAL;.pdf;6947882;3683;3706;2.8020000000000005
SERVER_LOCAL;.mp3;7522076;4267;3903;2.8839999999999995
SERVER_LOCAL;.mp3;7700653;3917;4093;2.002
SERVER_LOCAL;.mp4;7953382;3994;4169;2.5900000000000003
SERVER_LOCAL;.mp3;8012705;4137;4206;2.46
SERVER_LOCAL;.mp4;8297488;4354;4416;3.9860000000000007
SERVER_LOCAL;.mp3;9945088;5589;5627;3.182
SERVER_LOCAL;.iso;238026752;111165;110814;5.224
SERVER_LOCAL;.iso;647823360;307914;307812;2.114
SERVER_LOCAL;.png;43574;22;7;4.1339999999999995
SERVER_LOCAL;.png;60606;3;28;2.436
SERVER_LOCAL;.png;62303;3;43;2.228
SERVER_LOCAL;.png;62372;6;65;2.55
SERVER_LOCAL;.png;69598;5;40;2.742
SERVER_LOCAL;.png;78311;5;81;2.418
SERVER_LOCAL;.png;81702;4;46;2.1
SERVER_LOCAL;.png;86564;7;64;2.232
SERVER_LOCAL;.pdf;107050;10;68;2.466
SERVER_LOCAL;.png;124105;9;103;2.806
SERVER_LOCAL;.pdf;321740;154;207;2.8679999999999994
SERVER_LOCAL;.pdf;405687;172;211;2.44
SERVER_LOCAL;.pdf;463639;214;275;2.65
SERVER_LOCAL;.mp4;478886;260;298;3.002
SERVER_LOCAL;.pdf;573824;414;436;11.564
SERVER_LOCAL;.mp4;603517;308;343;1.8920000000000001
SERVER_LOCAL;.png;848806;451;480;2.758
SERVER_LOCAL;.pdf;1009014;500;520;2.0420000000000003
SERVER_LOCAL;.pdf;1084673;542;563;3.0959999999999996
SERVER_LOCAL;.mp4;2232746;1156;1219;3.3
SERVER_LOCAL;.pdf;2459010;1241;1268;3.154
SERVER_LOCAL;.mp3;3363260;2080;1751;3.146
SERVER_LOCAL;.pdf;3409257;2007;2014;5.212000000000001
SERVER_LOCAL;.mp3;4846713;2975;3019;3.138
SERVER_LOCAL;.mp3;4905254;2515;2580;3.732
SERVER_LOCAL;.mp3;5178593;2662;2695;4.0
SERVER_LOCAL;.mp3;5963776;3582;3675;3.1119999999999997
SERVER_LOCAL;.mp3;6897963;3501;3600;3.56
SERVER_LOCAL;.pdf;6947882;4263;4398;2.038
SERVER_LOCAL;.mp3;7522076;4260;3866;2.144
SERVER_LOCAL;.mp3;7700653;3788;3952;3.168
SERVER_LOCAL;.mp4;7953382;4267;4413;21.116
SERVER_LOCAL;.mp3;8012705;4116;4200;2.332
SERVER_LOCAL;.mp4;8297488;4337;4493;3.382
SERVER_LOCAL;.mp3;9945088;5283;5350;2.0140000000000002
SERVER_LOCAL;.iso;238026752;115573;114940;3.098
SERVER_LOCAL;.iso;647823360;305420;304698;4.15
SERVER_LOCAL;.png;43574;29;5;4.372
SERVER_LOCAL;.png;60606;6;44;2.07
SERVER_LOCAL;.png;62303;6;36;2.568
SERVER_LOCAL;.png;62372;9;36;2.2960000000000003
SERVER_LOCAL;.png;69598;7;35;2.274
SERVER_LOCAL;.png;78311;7;50;2.002
SERVER_LOCAL;.png;81702;7;54;2.238
SERVER_LOCAL;.png;86564;7;101;2.1
SERVER_LOCAL;.pdf;107050;9;63;5.917999999999999
SERVER_LOCAL;.png;124105;7;75;2.1079999999999997
SERVER_LOCAL;.pdf;321740;142;214;1.982
SERVER_LOCAL;.pdf;405687;184;210;1.9940000000000002
SERVER_LOCAL;.pdf;463639;431;481;53.217999999999996
SERVER_LOCAL;.mp4;478886;253;343;2.908
SERVER_LOCAL;.pdf;573824;296;329;2.9160000000000004
SERVER_LOCAL;.mp4;603517;326;356;2.242
SERVER_LOCAL;.png;848806;466;493;2.2700000000000005
SERVER_LOCAL;.pdf;1009014;514;515;2.7
SERVER_LOCAL;.pdf;1084673;492;525;2.3619999999999997
SERVER_LOCAL;.mp4;2232746;1199;1197;2.874
SERVER_LOCAL;.pdf;2459010;1249;1314;2.882
SERVER_LOCAL;.mp3;3363260;2996;2147;2.268
SERVER_LOCAL;.pdf;3409257;1687;1759;2.7020000000000004
SERVER_LOCAL;.mp3;4846713;2467;2538;2.642
SERVER_LOCAL;.mp3;4905254;2603;2613;3.258
SERVER_LOCAL;.mp3;5178593;2637;2691;2.784
SERVER_LOCAL;.mp3;5963776;3061;3093;2.1260000000000003
SERVER_LOCAL;.mp3;6897963;3627;3688;2.208
SERVER_LOCAL;.pdf;6947882;3395;3508;1.92
SERVER_LOCAL;.mp3;7522076;4173;3811;2.9419999999999997
SERVER_LOCAL;.mp3;7700653;4015;4064;2.864
SERVER_LOCAL;.mp4;7953382;4082;4254;2.4579999999999997
SERVER_LOCAL;.mp3;8012705;4119;4195;2.15
SERVER_LOCAL;.mp4;8297488;4416;4536;2.646
SERVER_LOCAL;.mp3;9945088;5317;5309;2.096
SERVER_LOCAL;.iso;238026752;111448;111080;2.876
SERVER_LOCAL;.iso;647823360;313790;313645;3.914
SERVER_LOCAL;.png;43574;12;4;4.07
SERVER_LOCAL;.png;60606;5;38;2.7079999999999997
SERVER_LOCAL;.png;62303;5;35;2.1799999999999997
SERVER_LOCAL;.png;62372;3;27;2.134
SERVER_LOCAL;.png;69598;4;73;2.9859999999999998
SERVER_LOCAL;.png;78311;8;49;2.836
SERVER_LOCAL;.png;81702;9;46;2.0439999999999996
SERVER_LOCAL;.png;86564;7;59;2.4
SERVER_LOCAL;.pdf;107050;7;70;3.196
SERVER_LOCAL;.png;124105;10;111;2.078
SERVER_LOCAL;.pdf;321740;138;221;2.028
SERVER_LOCAL;.pdf;405687;181;220;2.412
SERVER_LOCAL;.pdf;463639;210;252;2.6919999999999997
SERVER_LOCAL;.mp4;478886;205;257;2.9379999999999997
SERVER_LOCAL;.pdf;573824;298;318;1.8920000000000001
SERVER_LOCAL;.mp4;603517;297;326;4.716
SERVER_LOCAL;.png;848806;466;468;1.8539999999999999
SERVER_LOCAL;.pdf;1009014;555;554;2.172
SERVER_LOCAL;.pdf;1084673;587;604;2.008
SERVER_LOCAL;.mp4;2232746;1116;1125;2.444
SERVER_LOCAL;.pdf;2459010;1290;1347;2.226
SERVER_LOCAL;.mp3;3363260;1867;1695;2.268
SERVER_LOCAL;.pdf;3409257;1671;1741;2.706
SERVER_LOCAL;.mp3;4846713;2670;2759;2.3360000000000003
SERVER_LOCAL;.mp3;4905254;2852;2885;290.24
SERVER_LOCAL;.mp3;5178593;2553;2656;5.656000000000001
SERVER_LOCAL;.mp3;5963776;3061;3195;2.466
SERVER_LOCAL;.mp3;6897963;3547;3655;2.668
SERVER_LOCAL;.pdf;6947882;3514;3582;2.74
SERVER_LOCAL;.mp3;7522076;4553;3871;2.488
SERVER_LOCAL;.mp3;7700653;3872;4054;2.37
SERVER_LOCAL;.mp4;7953382;4207;4268;3.2520000000000002
SERVER_LOCAL;.mp3;8012705;4183;4303;2.37
SERVER_LOCAL;.mp4;8297488;4515;4541;2.406
SERVER_LOCAL;.mp3;9945088;5358;5406;2.0200000000000005
SERVER_LOCAL;.iso;238026752;113093;112773;2.688
SERVER_LOCAL;.iso;647823360;290607;290485;2.964
SERVER_LOCAL;.png;43574;53;14;88.41
SERVER_LOCAL;.png;60606;6;56;2.718
SERVER_LOCAL;.png;62303;4;49;5.148
SERVER_LOCAL;.png;62372;8;67;2.368
SERVER_LOCAL;.png;69598;8;62;2.732
SERVER_LOCAL;.png;78311;6;48;2.1399999999999997
SERVER_LOCAL;.png;81702;5;43;3.2019999999999995
SERVER_LOCAL;.png;86564;8;100;2.964
SERVER_LOCAL;.pdf;107050;11;89;2.2979999999999996
SERVER_LOCAL;.png;124105;10;89;2.784
SERVER_LOCAL;.pdf;321740;141;182;2.504
SERVER_LOCAL;.pdf;405687;185;216;2.082
SERVER_LOCAL;.pdf;463639;210;253;2.132
SERVER_LOCAL;.mp4;478886;237;250;2.5699999999999994
SERVER_LOCAL;.pdf;573824;262;308;3.6380000000000003
SERVER_LOCAL;.mp4;603517;608;752;2.82
SERVER_LOCAL;.png;848806;436;460;2.162
SERVER_LOCAL;.pdf;1009014;519;536;2.272
SERVER_LOCAL;.pdf;1084673;560;564;2.054
SERVER_LOCAL;.mp4;2232746;1150;1173;2.06
SERVER_LOCAL;.pdf;2459010;1472;1228;1.9739999999999998
SERVER_LOCAL;.mp3;3363260;1674;1747;3.6599999999999993
SERVER_LOCAL;.pdf;3409257;1656;1736;4.756
SERVER_LOCAL;.mp3;4846713;2451;2520;2.528
SERVER_LOCAL;.mp3;4905254;2451;2511;2.68
SERVER_LOCAL;.mp3;5178593;2621;2738;5.241999999999999
SERVER_LOCAL;.mp3;5963776;2973;3091;3.0300000000000002
SERVER_LOCAL;.mp3;6897963;3448;3590;2.332
SERVER_LOCAL;.pdf;6947882;3605;3610;2.8920000000000003
SERVER_LOCAL;.mp3;7522076;4027;3780;2.21
SERVER_LOCAL;.mp3;7700653;4094;4209;2.604
SERVER_LOCAL;.mp4;7953382;4191;4269;2.7199999999999998
SERVER_LOCAL;.mp3;8012705;4290;4374;1.922
SERVER_LOCAL;.mp4;8297488;4387;4420;4.232
SERVER_LOCAL;.mp3;9945088;5898;5925;4.013999999999999
SERVER_LOCAL;.iso;238026752;109849;109180;50.992000000000004
SERVER_LOCAL;.iso;647823360;308699;308239;2.136
